t,P
0.001,0.9890674495029312
0.0012067926406393288,0.9868234208288318
0.0014563484775012444,0.984122934505927
0.0017575106248547913,0.9808750254217561
0.0021209508879201904,0.9769714535580792
0.002559547922699536,0.9722838117945735
0.0030888435964774815,0.9666603305483346
0.003727593720314938,0.9599224397933938
0.004498432668969444,0.9518612095549732
0.005428675439323859,0.9422338791676462
0.006551285568595509,0.9307608127650467
0.0079060432109077,0.9171233939474479
0.009540954763499945,0.9009636059822991
0.01151395399326447,0.881886340699469
0.013894954943731374,0.8594658343650661
0.016768329368110076,0.8332580159575631
0.020235896477251564,0.8028209086851718
0.02442053094548651,0.7677454260229294
0.029470517025518096,0.7276987410808331
0.03556480306223128,0.6824815710751073
0.04291934260128776,0.632098799430028
0.0517947467923121,0.5768394245545778
0.0625055192527397,0.5173566079411553
0.07543120063354615,0.45473184328998706
0.09102981779915217,0.390500262816578
0.10985411419875583,0.3266096664200957
0.13257113655901082,0.2652884794372731
0.15998587196060574,0.20881259399033644
0.19306977288832497,0.159190715467165
0.2329951810515372,0.11782829614486467
0.2811768697974228,0.08526621567866227
0.3393221771895326,0.061097105564156394
0.4094915062380423,0.044117182951141164
0.49417133613238334,0.03267755651130685
0.5963623316594643,0.025101600507850232
0.7196856730011514,0.020004303030775078
0.868511373751352,0.016419075147813295
1.0481131341546852,0.013755354103120655
1.2648552168552958,0.011681208088251427
1.5264179671752318,0.010012694259478096
1.8420699693267144,0.008641885607258985
2.2229964825261934,0.007499819331539959
2.6826957952797246,0.006539473731734015
3.2374575428176433,0.0057271387396266
3.906939937054613,0.005037311718638723
4.714866363457389,0.0044498598908226114
5.689866029018293,0.0039487485111957535
6.866488450042998,0.003521627584305047
8.286427728546842,0.0031596436720748534
10.0,0.002856868307134473
