lambda,rho
0.0983910530514916,0.01985063620548789
0.2951731591544729,0.01985063620548789
0.49195526525745426,0.009925318102743943
0.6887373713604356,0.009925318102743944
0.8855194774634169,0.009925318102743944
1.082301583566398,0.0198506362054879
1.2790836896693794,0.009925318102743944
1.4758657957723607,0.0
1.672647901875342,0.009925318102743944
1.8694300079783233,0.029775954308231833
2.0662121140813046,0.0
2.262994220184286,0.01985063620548789
2.459776326287267,0.009925318102743944
2.6565584323902485,0.0
2.8533405384932298,0.009925318102743944
3.050122644596211,0.009925318102743944
3.2469047506991924,0.03970127241097578
3.4436868568021737,0.0
3.640468962905155,0.0
3.8372510690081363,0.009925318102743944
4.034033175111118,0.07940254482195155
4.230815281214099,0.009925318102743944
4.42759738731708,0.009925318102743944
4.6243794934200615,0.01985063620548789
4.821161599523043,0.0
5.017943705626024,0.03970127241097578
5.214725811729005,0.0
5.411507917831987,0.009925318102743944
5.608290023934968,0.0
5.805072130037949,0.009925318102743944
6.001854236140931,0.01985063620548789
6.198636342243912,0.029775954308231833
6.395418448346893,0.01985063620548789
6.5922005544498745,0.0
6.788982660552856,0.0
6.985764766655837,0.049626590513719725
7.182546872758818,0.009925318102743944
7.3793289788618,0.0
7.576111084964781,0.029775954308231833
7.772893191067762,0.0
7.969675297170744,0.9032039473496949
8.166457403273725,0.0
8.363239509376708,0.0
8.560021615479688,0.009925318102743944
8.75680372158267,0.0
8.95358582768565,0.03970127241097578
9.150367933788633,0.0
9.347150039891613,0.009925318102743944
9.543932145994596,0.0
9.740714252097575,0.0
9.937496358200558,0.0
10.134278464303538,0.029775954308231833
10.331060570406521,0.0
10.5278426765095,0.0
10.724624782612484,0.0
10.921406888715463,0.0
11.118188994818446,0.009925318102743944
11.314971100921426,0.0
11.511753207024409,0.0
11.708535313127388,0.0
11.905317419230371,2.9180435222067196
12.102099525333351,0.009925318102743944
12.298881631436334,0.0
12.495663737539314,0.0
12.692445843642297,0.0
12.889227949745276,0.0
13.08601005584826,0.0
13.282792161951239,0.009925318102743944
13.479574268054222,0.0
13.676356374157201,0.01985063620548789
13.873138480260184,0.0
14.069920586363164,0.0
14.266702692466147,0.009925318102743944
14.463484798569127,0.009925318102743944
14.66026690467211,0.0
14.85704901077509,0.029775954308231833
15.053831116878072,0.01985063620548789
15.250613222981052,0.0
15.447395329084035,0.01985063620548789
15.644177435187014,0.01985063620548789
15.840959541289998,0.0
16.037741647392977,0.06947722671920824
16.234523753495957,0.009925318102743856
16.43130585959894,0.01985063620548807
16.62808796570192,0.0
16.824870071804902,0.01985063620548771
17.02165217790788,0.01985063620548771
17.218434284010865,0.009925318102744034
17.415216390113844,0.0
17.611998496216827,0.029775954308231566
17.808780602319807,0.009925318102743856
18.00556270842279,0.01985063620548807
18.20234481452577,0.0
18.399126920628753,0.0
18.595909026731732,0.01985063620548771
18.792691132834715,0.0
18.989473238937695,0.01985063620548807
19.186255345040678,0.009925318102743856
19.383037451143657,0.01985063620548771
19.57981955724664,0.0
19.77660166334962,0.01985063620548807
19.973383769452603,0.0
20.170165875555583,0.009925318102743856
20.366947981658566,0.0
20.563730087761545,0.009925318102744034
20.76051219386453,0.01985063620548771
20.957294299967508,0.009925318102743856
21.15407640607049,0.0
21.35085851217347,0.0
21.547640618276453,0.01985063620548771
21.744422724379433,0.0
21.941204830482416,0.009925318102744034
22.137986936585396,0.01985063620548807
22.33476904268838,0.0
22.53155114879136,0.0
22.72833325489434,0.009925318102744034
22.92511536099732,0.009925318102744034
23.121897467100304,0.009925318102743856
23.318679573203283,0.0
23.515461679306267,0.009925318102744034
