index,lambda
0,2.8751014392220517e-16
1,0.0042821535227930835
2,0.004282153522793445
3,0.00856430704558616
4,0.017110277252379638
5,0.017110277252381376
6,0.02139243077517198
7,0.02139243077517243
8,0.03422055450475858
9,0.0384294391935393
10,0.038429439193539965
11,0.04271159271633212
12,0.04271159271633308
13,0.055539716445918645
14,0.0555397164459211
15,0.0681483474218637
16,0.06814834742186388
17,0.07243050094465643
18,0.07243050094465729
19,0.07685887838707851
20,0.08525862467424199
21,0.085258624674243
22,0.10613974100978829
23,0.10613974100978882
24,0.1065777866154015
25,0.10657778661540283
26,0.11042189453258022
27,0.11042189453258161
28,0.12325001826216729
29,0.12325001826216782
30,0.13629669484372653
31,0.14456918020332638
32,0.14456918020332754
33,0.1522409349774251
34,0.1522409349774265
35,0.15652308850021848
36,0.15652308850021968
37,0.16935121222980465
38,0.1693512122298054
39,0.17428808843165075
40,0.17428808843165197
41,0.1906703741709655
42,0.19067037417096588
43,0.20625451693462343
44,0.20625451693462366
45,0.21053667045741642
46,0.2105366704574166
47,0.21227948201957758
48,0.22038928239928998
49,0.22038928239929081
50,0.2233647941870027
51,0.22336479418700292
52,0.24468395612816154
53,0.2446839561281628
54,0.258380675987215
55,0.25838067598721526
56,0.26794919243112303
57,0.26794919243112403
58,0.2722313459539153
59,0.27223134595391574
60,0.27440286435648703
61,0.2744028643564885
62,0.28505946968350154
63,0.28505946968350176
64,0.304481869954853
65,0.306378631624662
66,0.30637863162466217
67,0.3123942579444118
68,0.31239425794441283
69,0.33609753985298507
70,0.3360975398529862
71,0.33706077539490953
72,0.33706077539490975
73,0.3413429289177025
74,0.3413429289177036
75,0.3541710526472878
76,0.3541710526472891
77,0.3584954519120501
78,0.3584954519120505
79,0.37408893344091154
80,0.3740889334409123
81,0.37549021458844883
82,0.3754902145884489
83,0.4052091228167727
84,0.40520912281677324
85,0.4125090338692464
86,0.41329331941752884
87,0.41329331941752956
88,0.4175754729403225
89,0.4175754729403237
90,0.4201901274085485
91,0.4201901274085493
92,0.43040359666990863
93,0.4304035966699088
94,0.44320051640469826
95,0.44320051640469854
96,0.4517227586110684
97,0.4517227586110688
98,0.474203709365746
99,0.47420370936574646
100,0.481441666839393
101,0.48144166683939343
102,0.4893017103723356
103,0.489301710372336
104,0.4963203850420439
105,0.4963203850420453
106,0.5006025385648377
107,0.5006025385648383
108,0.5134306622944239
109,0.5134306622944242
110,0.5194330604273177
111,0.5194330604273184
112,0.534749824235584
113,0.5347498242355841
114,0.535898384862245
115,0.5433152923295329
116,0.5433152923295335
117,0.5644687324639084
118,0.5644687324639095
119,0.5655342543949559
120,0.5655342543949565
121,0.5857864376269046
122,0.5857864376269053
123,0.5900685911496976
124,0.590068591149698
125,0.6024601260518336
126,0.6024601260518337
127,0.6028967148792831
128,0.6028967148792843
129,0.6050099678260313
130,0.605009967826032
131,0.6195478363521527
132,0.6195478363521536
133,0.6242158768204439
134,0.6242158768204451
135,0.6485613200194712
136,0.6485613200194716
137,0.6539347850487676
138,0.6539347850487681
139,0.674121550789819
140,0.6812425118486526
141,0.6812425118486538
142,0.6813083697998623
143,0.6813083697998634
144,0.6855905233226537
145,0.6855905233226551
146,0.6919261786366936
147,0.691926178636694
148,0.6984186470522412
149,0.6984186470522419
150,0.7025749019766683
151,0.7025749019766687
