t,P
0.001,0.9928293354754827
0.0012067926406393288,0.9913535798853075
0.0014563484775012444,0.9895758687839484
0.0017575106248547913,0.9874352192938918
0.0021209508879201904,0.9848586960796244
0.002559547922699536,0.9817592344013875
0.0030888435964774815,0.9780331432297125
0.003727593720314938,0.9735572785257579
0.004498432668969444,0.9681858980929957
0.005428675439323859,0.9617472440760637
0.006551285568595509,0.9540399528812535
0.0079060432109077,0.9448294723510735
0.009540954763499945,0.933844781493897
0.01151395399326447,0.9207758693391254
0.013894954943731374,0.9052726470518138
0.016768329368110076,0.8869462491219813
0.020235896477251564,0.8653740250786823
0.02442053094548651,0.8401099154177516
0.029470517025518096,0.8107022952163083
0.03556480306223128,0.7767216547450818
0.04291934260128776,0.7378004887021874
0.0517947467923121,0.6936872026140035
0.0625055192527397,0.6443143257429302
0.07543120063354615,0.5898783873138593
0.09102981779915217,0.530924083883772
0.10985411419875583,0.46841882682543057
0.13257113655901082,0.4037962447370512
0.15998587196060574,0.33894098583005994
0.19306977288832497,0.27608626833360256
0.2329951810515372,0.21760542701751331
0.2811768697974228,0.16570377393522567
0.3393221771895326,0.12205707273937075
0.4094915062380423,0.08748742481542354
0.49417133613238334,0.06179348697576667
0.5963623316594643,0.04383040071274791
0.7196856730011514,0.03184945474507017
0.868511373751352,0.023983071964323338
1.0481131341546852,0.018673046611149255
1.2648552168552958,0.014871452441137552
1.5264179671752318,0.011992359115399446
1.8420699693267144,0.009738473154246178
2.2229964825261934,0.007946973927166255
2.6826957952797246,0.006510816295546955
3.2374575428176433,0.005353055345636327
3.906939937054613,0.004419435679048871
4.714866363457389,0.0036736499693366944
5.689866029018293,0.0030920795997534073
6.866488450042998,0.0026575985962729452
8.286427728546842,0.0023532025198805054
10.0,0.0021576577473744773
