lambda,rho
0.060040588816601084,0.01626503868879701
0.1801217664497824,0.0
0.30020294408296366,0.0
0.420284121716145,0.06506015475518806
0.5403652993493262,0.03253007737759403
0.6604464769825076,0.0
0.780527654615689,0.0
0.9006088322488701,0.03253007737759403
1.0206900098820515,0.0
1.1407711875152327,0.0
1.260852365148414,0.0
1.3809335427815954,0.13012030951037598
1.5010147204147768,0.0
1.621095898047958,0.0
1.741177075681139,0.0
1.8612582533143205,0.0
1.9813394309475019,0.03253007737759394
2.1014206085806832,0.06506015475518824
2.221501786213864,0.0
2.3415829638470456,0.0
2.461664141480227,0.0
2.5817453191134083,0.1301203095103755
2.7018264967465897,0.0
2.821907674379771,0.0
2.9419888520129525,0.0
3.0620700296461334,0.0
3.1821512072793148,0.19518046426556326
3.302232384912496,0.0
3.4223135625456775,0.01626503868879694
3.542394740178859,0.04879511606639118
3.66247591781204,0.0
3.7825570954452212,0.0
3.9026382730784026,0.0
4.022719450711584,0.0
4.142800628344766,0.0
4.262881805977947,0.1301203095103755
4.382962983611128,0.03253007737759412
4.5030441612443095,0.0
4.62312533887749,0.0
4.743206516510671,0.0
4.863287694143853,0.0
4.983368871777035,0.0
5.103450049410215,0.0
5.223531227043397,0.0
5.343612404676579,0.0
5.46369358230976,0.09759023213278163
5.583774759942941,0.0
5.703855937576122,0.0
5.823937115209304,0.0
5.944018292842484,0.0
6.064099470475666,0.0
6.184180648108848,0.0
6.304261825742029,0.0
6.42434300337521,0.01626503868879706
6.544424181008392,0.0
6.664505358641573,0.0
6.7845865362747535,0.0
6.904667713907935,0.260240619020751
7.024748891541117,1.1710827855933883
7.144830069174297,1.8054192944564735
7.264911246807479,1.7566241783900693
7.384992424440661,1.0246974373942148
7.505073602073842,0.22771054164315715
7.625154779707023,0.0
7.7452359573402045,0.0
7.8653171349733855,0.0
7.985398312606566,0.01626503868879706
8.105479490239748,0.0
8.22556066787293,0.0
8.345641845506112,0.0
8.465723023139292,0.0
8.585804200772474,0.0
8.705885378405654,0.0
8.825966556038836,0.0
8.946047733672017,0.09759023213278163
9.0661289113052,0.0
9.18621008893838,0.0
9.306291266571561,0.0
9.426372444204743,0.0
9.546453621837923,0.0
9.666534799471105,0.0
9.786615977104287,0.0
9.906697154737468,0.0
10.026778332370649,0.06506015475518775
10.14685951000383,0.09759023213278163
10.26694068763701,0.0
10.387021865270192,0.0
10.507103042903374,0.0
10.627184220536556,0.0
10.747265398169738,0.0
10.867346575802918,0.048795116066390816
10.9874277534361,0.01626503868879694
11.10750893106928,0.06506015475518871
11.227590108702461,0.1301203095103755
11.347671286335643,0.0
11.467752463968825,0.0
11.587833641602007,0.0
11.707914819235187,0.01626503868879694
11.827995996868369,0.11385527082157858
11.948077174501549,0.0
12.06815835213473,0.0
12.188239529767912,0.0
12.308320707401094,0.06506015475518871
12.428401885034274,0.03253007737759388
12.548483062667456,0.0
12.668564240300638,0.0
12.788645417933818,0.0
12.908726595567,0.0
13.028807773200182,0.1301203095103755
13.148888950833364,0.0
13.268970128466544,0.0
13.389051306099725,0.0
13.509132483732905,0.032530077377594356
13.629213661366087,0.0
13.749294838999269,0.0
13.869376016632451,0.03253007737759388
13.989457194265633,0.032530077377594356
14.109538371898813,0.03253007737759388
14.229619549531995,0.0
14.349700727165175,0.016265038688797178
