lambda,rho
0.33799522833636986,0.002958621649548143
1.0139856850091422,0.01183448659819257
1.6899761416819148,0.1686414340242441
2.365966598354687,0.23964835361339962
3.041957055027459,0.2307724886647552
3.717947511700232,0.10355175773418482
4.393937968373004,0.12130348763147389
5.069928425045777,0.08580002783689616
5.7459188817185485,0.07692416288825173
6.4219093383913215,0.06213105464051102
7.097899795064094,0.05325518969186651
7.773890251736867,0.041420703093673954
8.449880708409639,0.04437932474322221
9.125871165082412,0.03550345979457768
9.801861621755183,0.014793108247740739
10.477852078427954,0.020710351546836977
11.153842535100729,0.011834486598192558
11.8298329917735,0.017751729897288886
12.505823448446272,0.011834486598192558
13.181813905119045,0.014793108247740739
13.857804361791818,0.005917243299096279
14.533794818464589,0.00887586494864442
15.209785275137362,0.0059172432990962955
15.885775731810135,0.00887586494864442
16.561766188482906,0.008875864948644443
17.237756645155677,0.0059172432990962955
17.91374710182845,0.008875864948644443
18.58973755850122,0.0
19.265728015173995,0.0059172432990962955
19.941718471846766,0.0029586216495481477
20.61770892851954,0.0
21.293699385192312,0.0059172432990962955
21.969689841865083,0.0059172432990962955
22.645680298537854,0.002958621649548132
23.32167075521063,0.0
23.9976612118834,0.0
24.673651668556175,0.0
25.349642125228947,0.0
26.025632581901718,0.0059172432990962955
26.70162303857449,0.0
27.37761349524726,0.0
28.053603951920035,0.0
28.729594408592806,0.0029586216495481477
29.40558486526558,0.0
30.081575321938352,0.0
30.757565778611124,0.0
31.433556235283895,0.002958621649548132
32.10954669195667,0.0029586216495481165
32.785537148629444,0.0
33.46152760530222,0.0
34.13751806197499,0.0
34.813508518647765,0.0029586216495481477
35.48949897532053,0.0029586216495481477
36.16548943199331,0.0
36.84147988866608,0.0
37.51747034533885,0.0029586216495481477
38.19346080201163,0.0
38.86945125868439,0.0
39.54544171535717,0.0
40.221432172029935,0.0
40.897422628702714,0.0
41.57341308537549,0.0
42.249403542048256,0.0
42.925393998721034,0.0
43.6013844553938,0.0
44.27737491206658,0.0
44.95336536873934,0.0
45.62935582541212,0.0
46.3053462820849,0.0029586216495481477
46.98133673875766,0.0
47.65732719543044,0.0
48.333317652103204,0.0
49.00930810877598,0.0
49.685298565448754,0.0
50.361289022121525,0.0
51.037279478794304,0.0
51.71326993546707,0.0
52.389260392139846,0.0
53.06525084881261,0.0
53.74124130548539,0.0
54.41723176215816,0.0
55.09322221883093,0.0029586216495481477
55.76921267550371,0.0
56.445203132176474,0.0
57.12119358884925,0.0
57.797184045522016,0.0
58.473174502194794,0.0
59.14916495886757,0.0
59.82515541554034,0.0
60.501145872213115,0.0
61.17713632888588,0.0
61.85312678555866,0.0
62.52911724223143,0.0
63.2051076989042,0.0
63.88109815557698,0.0
64.55708861224974,0.0
65.23307906892252,0.0
65.9090695255953,0.0
66.58505998226806,0.0
67.26105043894083,0.0
67.9370408956136,0.0
68.61303135228638,0.0
69.28902180895915,0.0
69.96501226563193,0.0
70.6410027223047,0.0
71.31699317897747,0.0
71.99298363565023,0.0
72.66897409232301,0.0
73.34496454899579,0.0
74.02095500566855,0.0
74.69694546234133,0.0
75.37293591901411,0.0
76.04892637568688,0.0
76.72491683235964,0.0
77.40090728903242,0.0
78.0768977457052,0.0
78.75288820237796,0.0
79.42887865905074,0.0
80.10486911572352,0.0
80.78085957239628,0.002958621649548179
