t,P
0.001,0.9962091932514291
0.0012067926406393288,0.9954275715082429
0.0014563484775012444,0.9944853580442979
0.0017575106248547913,0.9933498170541256
0.0021209508879201904,0.9919816576575572
0.002559547922699536,0.9903337750337664
0.0030888435964774815,0.9883497744561924
0.003727593720314938,0.9859622523918933
0.004498432668969444,0.983090811686797
0.005428675439323859,0.9796397946839258
0.006551285568595509,0.9754957310107275
0.0079060432109077,0.9705245186464982
0.009540954763499945,0.9645683917110148
0.01151395399326447,0.9574427814225517
0.013894954943731374,0.9489332544403566
0.016768329368110076,0.938792823136551
0.020235896477251564,0.926740073595375
0.02442053094548651,0.9124587565966348
0.029470517025518096,0.8955997374260046
0.03556480306223128,0.8757864947558309
0.04291934260128776,0.8526256699711755
0.0517947467923121,0.8257244352677691
0.0625055192527397,0.7947165587150713
0.07543120063354615,0.7592988136268333
0.09102981779915217,0.719278544344531
0.10985411419875583,0.6746314378243823
0.13257113655901082,0.6255655619714573
0.15998587196060574,0.5725834337145976
0.19306977288832497,0.5165287228004917
0.2329951810515372,0.45859956404750174
0.2811768697974228,0.40030891361096566
0.3393221771895326,0.343377368034546
0.4094915062380423,0.2895581510514332
0.49417133613238334,0.24041692231976555
0.5963623316594643,0.19711378114290284
0.7196856730011514,0.16024836124540465
0.868511373751352,0.12981847189514162
1.0481131341546852,0.10530655020208543
1.2648552168552958,0.08586164267873313
1.5264179671752318,0.07051238709281235
1.8420699693267144,0.058344666555162704
2.2229964825261934,0.048603693178778794
2.6826957952797246,0.04071801768598909
3.2374575428176433,0.034272570490295015
3.906939937054613,0.028965559584533684
4.714866363457389,0.024571801448936913
5.689866029018293,0.020918352898796712
6.866488450042998,0.017869501435913333
8.286427728546842,0.015317194372409965
10.0,0.013174519996377936
