seed,dir,n_points_rho,d_s,R2,Lambda,eps_spec,zbar,anisotropy
chimera_L8_seed1,chimera_runs\chimera_L8_seed1,120,1.4814341326817042,0.8586346722508476,3.496295556528442,0.049642124075009446,12.0,0.035563788875774716
chimera_L8_seed2,chimera_runs\chimera_L8_seed2,120,1.4807987567649512,0.8584689259750274,3.4886781968651865,0.0501415556822349,12.0,0.04069829447344782
chimera_L8_seed3,chimera_runs\chimera_L8_seed3,120,1.4807288896873227,0.8584661173930668,3.4887444051504826,0.05010849644920119,12.0,0.023461462438111994
